Country,male all,female all,male 100,female 100,male 3,female 3,male 1,female 1
KEN,9.0,7.0,8.0,5.0,2.0,1.0,1.0,0.0
ETH,2.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0
USA,10607.0,9921.0,73.0,83.0,0.0,1.0,0.0,0.0
JPN,167.0,67.0,6.0,2.0,0.0,0.0,0.0,0.0
MAR,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MEX,224.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0
CAN,911.0,769.0,2.0,3.0,0.0,0.0,0.0,0.0
AUS,143.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0
DEU,187.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0
CHN,305.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0
DMA,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
ISR,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARG,33.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
IRL,95.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0
BRA,188.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,20.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,129.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,54.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0
CHE,78.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,52.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,46.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,70.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,49.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,109.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,134.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI,49.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN,109.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,191.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
PSE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEN,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,68.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0
RUS,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,43.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,110.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
PRI,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
FRO,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
MCO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CYM,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTQ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
