gender,year,count
F,1972.0,8
F,1973.0,10
F,1974.0,30
F,1975.0,28
F,1976.0,30
F,1977.0,102
F,1978.0,186
F,1979.0,297
F,1980.0,237
F,1981.0,516
F,1982.0,484
F,1983.0,555
F,1984.0,582
F,1985.0,458
F,1986.0,456
F,1987.0,779
F,1988.0,788
F,1989.0,864
F,1990.0,1432
F,1991.0,1337
F,1992.0,1558
F,1993.0,1500
F,1994.0,1740
F,1995.0,1852
F,1996.0,8479
F,1997.0,2483
F,1998.0,3153
F,1999.0,3767
F,2000.0,5473
F,2001.0,4805
F,2002.0,5251
F,2003.0,6298
F,2004.0,6239
F,2005.0,6644
F,2006.0,7618
F,2007.0,7969
F,2008.0,8930
F,2009.0,9300
F,2010.0,9470
F,2011.0,10073
F,2012.0,8967
F,2013.0,9921
F,2014.0,14284
F,2015.0,12017
F,2016.0,12167
F,2017.0,11972
F,2018.0,11746
F,2019.0,11980
M,1897.0,1
M,1898.0,1
M,1899.0,1
M,1900.0,8
M,1901.0,9
M,1902.0,12
M,1903.0,10
M,1904.0,10
M,1905.0,10
M,1906.0,13
M,1907.0,10
M,1908.0,10
M,1909.0,20
M,1910.0,40
M,1911.0,25
M,1912.0,25
M,1913.0,35
M,1914.0,25
M,1915.0,34
M,1916.0,25
M,1917.0,20
M,1918.0,8
M,1919.0,18
M,1920.0,23
M,1921.0,32
M,1922.0,37
M,1923.0,33
M,1924.0,35
M,1925.0,36
M,1926.0,35
M,1927.0,35
M,1928.0,33
M,1929.0,41
M,1930.0,37
M,1931.0,40
M,1932.0,33
M,1933.0,44
M,1934.0,33
M,1935.0,60
M,1936.0,70
M,1937.0,61
M,1938.0,61
M,1939.0,66
M,1940.0,55
M,1941.0,35
M,1942.0,46
M,1943.0,35
M,1944.0,33
M,1945.0,33
M,1946.0,33
M,1947.0,41
M,1948.0,51
M,1949.0,51
M,1950.0,42
M,1951.0,52
M,1952.0,34
M,1953.0,35
M,1954.0,81
M,1955.0,35
M,1956.0,52
M,1957.0,25
M,1958.0,25
M,1959.0,25
M,1960.0,35
M,1961.0,102
M,1962.0,108
M,1963.0,125
M,1964.0,75
M,1965.0,99
M,1966.0,50
M,1967.0,50
M,1968.0,49
M,1969.0,91
M,1970.0,99
M,1971.0,101
M,1972.0,277
M,1973.0,150
M,1974.0,150
M,1975.0,1818
M,1976.0,1129
M,1977.0,2219
M,1978.0,3872
M,1979.0,5677
M,1980.0,3415
M,1981.0,5076
M,1982.0,4562
M,1983.0,4833
M,1984.0,4708
M,1985.0,3472
M,1986.0,3309
M,1987.0,4539
M,1988.0,4470
M,1989.0,4241
M,1990.0,6519
M,1991.0,6228
M,1992.0,6553
M,1993.0,5957
M,1994.0,6354
M,1995.0,6430
M,1996.0,27327
M,1997.0,6432
M,1998.0,7164
M,1999.0,7525
M,2000.0,10207
M,2001.0,8580
M,2002.0,9146
M,2003.0,10720
M,2004.0,10500
M,2005.0,10884
M,2006.0,12054
M,2007.0,12353
M,2008.0,13022
M,2009.0,13539
M,2010.0,13073
M,2011.0,13811
M,2012.0,12586
M,2013.0,13277
M,2014.0,17525
M,2015.0,14581
M,2016.0,14463
M,2017.0,14438
M,2018.0,14250
M,2019.0,14664
