"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,"City, State, Country",AG Time*
Evans Cheruiyot (M26),2:06:25,1,1 / 1,M25-29,2:06:25,KEN,2:06:25
David Mandago (M30),2:07:37,2,2 / 1,M30-34,2:07:37,KEN,2:07:37
Timothy Cherigat (M31),2:11:39,3,3 / 2,M30-34,2:11:39,KEN,2:11:39
Wesley Korir (M25),2:13:53,4,4 / 2,M25-29,2:13:53,"Louisville, KY, KEN",2:13:53
Martin Lauret (M36),2:15:10,5,5 / 1,M35-39,2:15:10,NED,2:15:01
Emmanuel Mutai (M24),2:15:36,6,6 / 1,M20-24,2:15:36,KEN,2:15:36
Mike Reneau (M30),2:16:20,7,7 / 3,M30-34,2:16:20,"MI, USA",2:16:20
William Kipsang (M31),2:16:41,8,8 / 4,M30-34,2:16:41,KEN,2:16:41
Daniel Njenga (M32),2:17:33,9,9 / 5,M30-34,2:17:33,KEN,2:17:33
Richard Limo (M27),2:18:48,10,10 / 3,M25-29,2:18:48,KEN,2:18:48
Marco Venancio (M23),2:20:29,11,11 / 2,M20-24,2:20:29,"San Diego, CA, MEX",2:20:29
Crosby Freeman (M24),2:20:43,12,12 / 3,M20-24,2:20:43,"San Francisco, CA, USA",2:20:43
Moses Arusei (M25),2:20:48,13,13 / 4,M25-29,2:20:48,KEN,2:20:48
David Cheromei (M29),2:22:01,14,14 / 5,M25-29,2:22:01,"Lynchburg, VA, KEN",2:22:01
Allen Wagner (M28),2:22:20,15,15 / 6,M25-29,2:22:17,"San Diego, CA, USA",2:22:17
Arata Fujiwara (M27),2:23:10,16,16 / 7,M25-29,2:23:10,JPN,2:23:10
Christopher Cheboiboch (M31),2:23:22,17,17 / 6,M30-34,2:23:22,KEN,2:23:22
Chad Ware (M24),2:23:51,18,18 / 4,M20-24,2:23:50,"Deerfield, IL, USA",2:23:50
Ronald Schroer (M24),2:24:22,19,19 / 5,M20-24,2:24:22,NED,2:24:22
Matthew Bartlebaugh (M24),2:25:14,20,20 / 6,M20-24,2:25:12,"Ann Arbor, MI, USA",2:25:12
Jonathan Eckberg (M27),2:27:05,21,21 / 8,M25-29,2:27:03,"Greenville, IL, USA",2:27:03
Phil McCartney (M33),2:27:18,22,22 / 7,M30-34,2:27:16,"Portland, OR, USA",2:27:16
Lidiya Grigoryeva (F34),2:27:17,23,1 / 1,F30-34,2:27:17,RUS,2:25:50
Jesse Davis (M26),2:27:26,24,23 / 9,M25-29,2:27:26,"Indiannapolis, IN, USA",2:27:26
Stephen Donahue (M31),2:27:37,25,24 / 8,M30-34,2:27:35,"Palo Alto, CA, USA",2:27:35
Brandon Rowe (M25),2:28:08,26,25 / 10,M25-29,2:28:08,"Ardmore, PA, USA",2:28:08
Monel Sabou (M29),2:28:11,27,26 / 11,M25-29,2:28:11,"Chicago, IL, ROM",2:28:11
Brian McGovern (M27),2:28:23,28,27 / 12,M25-29,2:28:21,"Bonita Springs, FL, USA",2:28:21
Salim Kipsang (M28),2:28:58,29,28 / 13,M25-29,2:28:58,KEN,2:28:58
Jesse Williams (M30),2:29:19,30,29 / 9,M30-34,2:29:19,"Seattle, WA, USA",2:29:19
Alevtina Biktimirova (F26),2:29:32,31,2 / 1,F25-29,2:29:32,RUS,2:29:32
David Williams (M37),2:29:46,32,30 / 2,M35-39,2:29:46,"Milwaukee, WI, USA",2:29:10
Robert Wiley (M33),2:30:17,33,31 / 10,M30-34,2:30:16,"Gurnee, IL, USA",2:30:16
Carlos Martins (M39),2:30:18,34,32 / 3,M35-39,2:30:18,"Kearny, NJ, USA",2:27:53
Kiyoko Shimahara (F32),2:30:19,35,3 / 2,F30-34,2:30:19,JPN,2:29:47
Marc Schleyer (M32),2:30:47,36,33 / 11,M30-34,2:30:44,"Auburn, AL, GER",2:30:44
Constantina Tomescu-Dita (F38),2:30:57,37,4 / 1,F35-39,2:30:57,ROU,2:26:08
Brian Whitehead (M26),2:31:06,38,34 / 14,M25-29,2:31:01,"Richmond Heights, MO, USA",2:31:01
Brian Wilder (M37),2:31:24,39,35 / 4,M35-39,2:31:24,"London, GBR",2:30:47
Elliott Frieder (M37),2:31:31,40,36 / 5,M35-39,2:31:31,"Montville, NJ, USA",2:30:54
Desiree Davila (F25),2:31:33,41,5 / 2,F25-29,2:31:33,USA,2:31:33
Matt DeLeon (M28),2:31:34,42,37 / 15,M25-29,2:31:33,"Westerville, OH, USA",2:31:33
James Akita (M28),2:31:46,43,38 / 16,M25-29,2:31:45,"Elmhurst, IL, USA",2:31:45
Christophe De Ketelaere (M32),2:31:55,44,39 / 12,M30-34,2:31:54,"Eke, BEL",2:31:54
Garick Hill (M27),2:31:59,45,40 / 17,M25-29,2:31:57,"Winston Salem, NC, USA",2:31:57
Timothy Henry (M24),2:32:18,46,41 / 7,M20-24,2:32:15,"Wheaton, IL, USA",2:32:15
Colleen De Reuck (F44),2:32:25,47,6 / 1,F40-44,2:32:25,USA,2:19:02
John Thompson (M22),2:32:48,48,42 / 8,M20-24,2:32:40,"Lexington, KY, USA",2:32:35
Bezunesh Bekele (F25),2:32:41,49,7 / 3,F25-29,2:32:41,ETH,2:32:41
Emisael Favela (M31),2:33:03,50,43 / 13,M30-34,2:33:01,"Cicero, IL, USA",2:33:01
Steven Folkerts (M36),2:33:08,51,44 / 6,M35-39,2:33:06,"Fort Collins, CO, USA",2:32:56
Paige Higgins (F26),2:33:06,52,8 / 4,F25-29,2:33:06,"Flagstaff, AZ, USA",2:33:06
Jason Holroyd (M32),2:33:19,53,45 / 14,M30-34,2:33:16,"Richmond Heights, MO, USA",2:33:16
Erik Bush (M40),2:33:21,54,46 / 1,M40-44,2:33:20,"Peoria, IL, USA",2:29:38
Michael Morris (M34),2:33:56,55,47 / 15,M30-34,2:33:54,"Tyne Wear, GBR",2:33:54
Kate O'Neill (F28),2:34:04,56,9 / 5,F25-29,2:34:04,USA,2:34:04
Berhane Adere (F34),2:34:16,57,10 / 3,F30-34,2:34:16,ETH,2:32:45
Andy Derks (M28),2:34:24,58,48 / 18,M25-29,2:34:24,"Saint Joseph, IL, USA",2:34:24
Andrew Van Nurden (M24),2:35:03,59,49 / 9,M20-24,2:34:58,"Brookings, SD, USA",2:34:58
Stephanie Hood (F27),2:35:09,60,11 / 6,F25-29,2:35:09,CAN,2:35:09
Austin Johnson (M30),2:35:25,61,50 / 16,M30-34,2:35:24,"Madison, WI, USA",2:35:24
Steven Logan (M30),2:35:38,62,51 / 17,M30-34,2:35:27,"Pontiac, MI, USA",2:35:27
Jose Munoz (M23),2:35:37,63,52 / 10,M20-24,2:35:36,"San Antonio, TX, USA",2:35:36
Adriana Pirtea (F28),2:35:39,64,12 / 7,F25-29,2:35:39,ROU,2:35:39
Zoila Gomez (F29),2:35:41,65,13 / 8,F25-29,2:35:41,USA,2:35:41
Chris Siemers (M27),2:35:44,66,53 / 19,M25-29,2:35:42,"Bensenville, IL, USA",2:35:42
James Beyer (M41),2:35:53,67,54 / 2,M40-44,2:35:50,"Dayton, OH, USA",2:30:49
Eric Lesch (M32),2:36:01,68,55 / 18,M30-34,2:35:58,"Chicago, IL, USA",2:35:58
Gregory Castro (M23),2:35:59,69,56 / 11,M20-24,2:35:59,"Boulder, CO, USA",2:35:59
Rob Chenoweth (M39),2:36:29,70,57 / 7,M35-39,2:36:24,"Chicago, IL, USA",2:33:53
Noureddine Sobhi (M46),2:36:27,71,58 / 1,M45-49,2:36:26,"Noyal Sur Vilaine, FRA",2:25:08
German Silva (M40),2:36:37,72,59 / 3,M40-44,2:36:34,"San Luis Potosi, MEX",2:32:47
Ryan Donovan (M26),2:36:40,73,60 / 20,M25-29,2:36:37,"Fort Collins, CO, USA",2:36:37
Bradley Allen (M24),2:36:41,74,61 / 12,M20-24,2:36:41,"Morrisville, VT, USA",2:36:41
Ryan Linden (M26),2:36:47,75,62 / 21,M25-29,2:36:46,"Rochester Hills, MI, USA",2:36:46
Hector Juarez Amador (M48),2:36:58,76,63 / 2,M45-49,2:36:53,"Acapulco, MEX",2:23:02
Sam Hill (M30),2:37:02,77,64 / 19,M30-34,2:37:00,"Anchorage, AK, USA",2:37:00
Kirklan Walrath (M38),2:37:11,78,65 / 8,M35-39,2:37:08,"Fenton, MI, USA",2:35:43
Chris Hollinden (M26),2:37:33,79,66 / 22,M25-29,2:37:29,"Tell City, IN, USA",2:37:29
Pj Meany (M24),2:37:42,80,67 / 13,M20-24,2:37:42,"Hockessin, DE, USA",2:37:42
Robert Baker (M30),2:37:44,81,68 / 20,M30-34,2:37:44,"Sheffield, GBR",2:37:44
Alex Shaw (M29),2:37:58,82,69 / 23,M25-29,2:37:47,"Miami, FL, USA",2:37:47
Timothy Mulligan (M27),2:38:08,83,70 / 24,M25-29,2:38:07,"Whiting, NJ, USA",2:38:07
Worknesh Tola (F31),2:38:13,84,14 / 4,F30-34,2:38:13,ETH,2:37:57
Kyle Barnes (M24),2:38:34,85,71 / 14,M20-24,2:38:29,"Eastport, MI, USA",2:38:29
Mark Wehrman (M22),2:38:45,86,72 / 15,M20-24,2:38:41,"Chicago, IL, USA",2:38:36
Chris Thunen (M31),2:38:42,87,73 / 21,M30-34,2:38:42,"Berkeley, CA, USA",2:38:42
Todd Ptacek (M23),2:38:51,88,74 / 16,M20-24,2:38:48,"Erie, PA, USA",2:38:48
Jacob England (M25),2:39:05,89,75 / 25,M25-29,2:39:01,"Chicago, IL, USA",2:39:01
Brian Runyon (M27),2:39:12,90,76 / 26,M25-29,2:39:10,"Glen Ellyn, IL, USA",2:39:10
Dallen Ashby (M32),2:39:22,91,77 / 22,M30-34,2:39:14,"Chicago, IL, USA",2:39:14
Milton Marinho (M44),2:39:20,92,78 / 4,M40-44,2:39:15,"Sabara, BRA",2:30:18
Nathan Kennedy (M22),2:39:42,93,79 / 17,M20-24,2:39:38,"Bolingbrook, IL, USA",2:39:33
Rob Hyde (M33),2:39:38,94,80 / 23,M30-34,2:39:38,"Grand Rapids, MI, USA",2:39:38
Charlie Gruber (M30),2:39:54,95,81 / 24,M30-34,2:39:39,"Lee's Summit, MO, USA",2:39:39
Katsushi Fuchiwaki (M36),2:39:40,96,82 / 9,M35-39,2:39:40,"Fukuoka, Jap",2:39:30
Aaron Hoover (M26),2:39:43,97,83 / 27,M25-29,2:39:40,"Boulder, CO, USA",2:39:40
Richard Chapman (M21),2:40:06,98,84 / 18,M20-24,2:39:42,"Portland, OR, USA",2:38:58
Jason Ream (M26),2:39:58,99,85 / 28,M25-29,2:39:47,"Chicago, IL, USA",2:39:47
Lars Juhl (M31),2:40:07,100,86 / 25,M30-34,2:40:05,"Chicago, IL, USA",2:40:05
